COUNTRY_CODE,COUNTRY_NAME,POPULATION,TOTAL_CASES,TOTAL_DEATHS,TOTAL_VACCINATIONS,ONE_DOSE_VACCINATED,FULLY_VACCINATED,FIRST_VACCINE_DATE,LAST_UPDATED_DATE,STRINGENCY_INDEX,URBANISATION_RATE,URBANISATION_YEARLY_CHANGE,GDP_PER_CAP,DENSITY,AVG_TEMPARATURE,PRECIPITATION,INFECTION_RATE_PER_1000,DEATHS_PER_1000,TOTAL_VACCINATIONS_PER_1000,OECD_COUNTRY
PRT,Portugal,10263850,1079806,18097,16104650,8975553,7126357,2020-12-23,2021-10-10,47.22,66.8,0.44,34894,111.45,17.86,3.21,105.2,1.76,1569,Yes
SRB,Serbia,6974289,1048835,9105,6043997,3085630,2958367,2020-12-23,2021-10-03,40.74,56.7,0.04,18233,90.02,14.78,1.78,150.39,1.31,867,No
KAZ,Kazakhstan,19245793,996141,16713,13647786,6929350,6718436,2021-04-28,2021-10-10,66.2,57.8,1.19,26351,7.06,10.8,12.85,51.76,0.87,709,No
MAR,Morocco,36561813,942132,14544,44867769,23236666,20925569,2021-01-28,2021-10-17,65.74,64.1,1.88,7515,51.02,19.62,1.2,25.77,0.4,1227,No
CUB,Cuba,11032343,928684,7994,23628367,9671500,6871192,NA,2021-10-15,65.28,77.3,0.19,12300,99.52,27.39,5.45,84.18,0.72,2142,No
VNM,Viet Nam,102789598,864053,21194,50558288,36901468,13656820,2021-03-08,2021-10-07,53.24,38.1,2.7,8041,310.35,26.41,5.63,8.41,0.21,492,No
CHE,Switzerland,8453550,851002,10733,10809806,5604427,5205379,2020-12-23,2021-10-10,46.3,74,0.79,68628,204.8,9.22,4.53,100.67,1.27,1279,Yes
JOR,Jordan,10909567,841489,10879,7244287,3826630,3417657,2021-01-13,2021-10-18,57.41,91.6,0.98,10071,122.11,23.81,1.44,77.13,1,664,No
HUN,Hungary,9728337,836389,30402,11341704,5855701,5486003,2020-12-23,2021-10-10,27.78,72.2,0.05,32945,104.57,13.27,1.7,85.97,3.13,1166,Yes
NPL,Nepal,30424878,805560,11293,14483226,8041594,6441632,2021-01-27,2021-10-10,46.3,21,3.09,3417,206.72,20.84,5.3,26.48,0.37,476,No
