COUNTRY_CODE,COUNTRY_NAME,POPULATION,TOTAL_CASES,TOTAL_DEATHS,TOTAL_VACCINATIONS,ONE_DOSE_VACCINATED,FULLY_VACCINATED,FIRST_VACCINE_DATE,LAST_UPDATED_DATE,STRINGENCY_INDEX,URBANISATION_RATE,URBANISATION_YEARLY_CHANGE,GDP_PER_CAP,DENSITY,AVG_TEMPARATURE,PRECIPITATION,INFECTION_RATE_PER_1000,DEATHS_PER_1000,TOTAL_VACCINATIONS_PER_1000,OECD_COUNTRY
COG,Congo,5417414,15962,231,269914,198302,112541,2021-03-23,2021-10-18,36.11,68.3,3.19,3673,15.84,26.13,8.83,2.95,0.04,50,No
ABW,Aruba,120917,15681,170,157944,82013,75931,2021-02-17,2021-10-15,35.19,43.9,0.77,37500,671.76,NA,NA,129.68,1.41,1306,No
MLI,Mali,20137527,15620,557,426975,318797,253733,2021-03-31,2021-10-15,44.44,44.7,4.57,2322,16.24,30.17,7.95,0.78,0.03,21,No
AND,Andorra,85645,15338,130,102692,54383,48309,2021-01-20,2021-10-03,51.85,87.9,0.11,49900,183,NA,NA,179.09,1.52,1199,No
BFA,Burkina Faso,21382659,14734,203,297231,315749,255240,2021-06-02,2021-10-17,13.89,31.2,4.75,2178,77.98,29.29,7.55,0.69,0.01,14,No
GUM,Guam,168801,14030,222,228169,125402,112034,2021-01-04,2021-10-04,43.52,95,0.84,35600,310.3,27.68,5.9,83.12,1.32,1352,No
DJI,Djibouti,938413,13396,179,66010,40689,26087,2021-03-15,2021-09-18,54.63,78.2,1.56,5535,40.45,NA,NA,14.28,0.19,70,No
GNQ,Equatorial Guinea,857008,12840,156,414506,236045,178461,2021-02-12,2021-10-14,NA,73.6,3.62,18558,30.55,26.97,9.32,14.98,0.18,484,No
ISL,Iceland,354234,12455,33,504724,281561,223163,2020-12-30,2021-10-10,41.67,93.9,0.74,55874,3.44,NA,NA,35.16,0.09,1425,Yes
SSD,South Sudan,10984074,12223,130,120467,84658,35809,2021-04-06,2021-10-17,27.78,20.5,4.12,1600,17.05,NA,NA,1.11,0.01,11,No
NIC,Nicaragua,6243931,12169,206,999990,671784,328206,2021-03-02,2021-10-15,2.78,59.3,1.45,5407,47.89,NA,NA,1.95,0.03,160,No
LCA,Saint Lucia,166637,12095,232,84799,48222,36577,2021-02-17,2021-10-15,NA,18.9,0.98,15449,270.51,NA,NA,72.58,1.39,509,No
BRB,Barbados,301865,11785,103,258231,143661,114570,2021-02-10,2021-10-15,67.59,31.2,0.46,15639,702.01,NA,NA,39.04,0.34,855,No
CAF,Central African Republic,5357984,11478,100,385557,256081,285043,2021-03-19,2021-10-18,11.11,42.6,3.32,945,8.6,25.22,9.8,2.14,0.02,72,No
BRN,Brunei Darussalam,471103,10860,49,534701,323834,208168,2021-04-03,2021-10-08,79.63,78.6,1.44,62100,81.72,27.59,12.97,23.05,0.1,1135,No
JEY,Jersey,101476,10357,79,161258,78161,74270,NA,2021-10-14,NA,31,0.68,56600,874.79,NA,NA,102.06,0.78,1589,No
NCL,New Caledonia,293608,9977,241,286196,163063,123133,2021-01-20,2021-10-09,NA,71.9,1.72,31100,15.81,NA,NA,33.98,0.82,975,No
GMB,Gambia,2221301,9946,339,208379,185385,23834,2021-03-10,2021-10-02,33.33,63.2,3.75,2223,196.58,26.02,12.92,4.48,0.15,94,No
YEM,Yemen,30399243,9526,1804,356173,308025,48148,2021-04-20,2021-10-11,23.15,38.5,3.71,2500,57.58,NA,NA,0.31,0.06,12,No
IMN,Isle of Man,90895,8583,56,129525,65504,64021,NA,2021-10-14,NA,53.1,0.97,84600,158.91,NA,NA,94.43,0.62,1425,No
ERI,Eritrea,6147398,6774,45,NA,NA,NA,NA,NA,50.93,42,3.67,1600,52.27,NA,NA,1.1,0.01,NA,No
SLE,Sierra Leone,6807277,6397,121,396196,318380,110744,2021-03-15,2021-10-18,29.63,43.4,3.02,1718,94.89,NA,NA,0.94,0.02,58,No
NER,Niger,23605767,6170,204,803146,479613,323533,2021-03-29,2021-10-15,19.44,16.8,4.72,1225,18.63,30.77,6.21,0.26,0.01,34,No
GNB,Guinea-Bissau,1976187,6130,141,121501,111771,9730,2021-04-02,2021-10-18,NA,44.6,3.22,1989,54.7,NA,NA,3.1,0.07,61,No
LBR,Liberia,5214030,5807,286,326046,86561,229773,2021-04-01,2021-10-12,40.74,52.6,3.41,1428,46.82,26.9,14.5,1.11,0.05,63,No
GIB,Gibraltar,29516,5758,98,81966,39970,39751,NA,2021-10-15,NA,100,0.45,61700,4216.57,19.16,2.02,195.08,3.32,2777,No
GRD,Grenada,113570,5670,189,65362,36757,28605,2021-02-15,2021-10-15,NA,36.7,0.86,17039,330.15,NA,NA,49.93,1.66,576,No
BMU,Bermuda,72084,5548,95,88417,45017,43400,2021-01-11,2021-10-15,56.48,100,-0.2,81798,1334.89,22.52,4.57,76.97,1.32,1227,No
SMR,San Marino,34467,5475,91,47302,25084,22218,2021-02-24,2021-10-10,37.96,97.6,0.41,59439,565.03,NA,NA,158.85,2.64,1372,No
TCD,Chad,17414108,5069,174,191439,150842,40597,2021-06-04,2021-10-13,22.22,23.8,4.1,1580,13.56,30.13,9.26,0.29,0.01,11,No
NZL,New Zealand,4991442,4696,28,4635189,3052320,1582869,2021-02-19,2021-09-24,81.02,86.8,0.92,42888,18.57,13.09,2.83,0.94,0.01,929,Yes
SXM,Sint Maarten,44564,4431,70,50223,26122,24101,2021-02-22,2021-10-15,NA,100,1.16,35342,1310.71,NA,NA,99.43,1.57,1127,No
COM,Comoros,864335,4186,147,375241,213143,162098,2021-04-10,2021-10-13,NA,29.6,2.97,3060,386.73,NA,NA,4.84,0.17,434,No
DMA,Dominica,74584,4153,28,48830,26806,22024,2021-02-12,2021-10-15,79.63,71.4,0.84,11917,99.31,NA,NA,55.68,0.38,655,No
VCT,Saint Vincent and the Grenadines,101145,3965,33,37377,22811,14566,2021-02-01,2021-10-15,NA,53.5,0.94,12485,260.01,NA,NA,39.2,0.33,370,No
ATG,Antigua and Barbuda,99175,3830,93,99846,54758,45088,2021-02-19,2021-10-15,NA,24.4,0.87,21910,223.87,NA,NA,38.62,0.94,1007,No
STP,Sao Tome and Principe,213948,3677,56,103720,75837,27883,2021-03-15,2021-10-15,NA,75.1,2.96,3970,221.94,NA,NA,17.19,0.26,485,No
LIE,Liechtenstein,39425,3589,58,47202,24781,23116,NA,2021-10-14,28.7,14.5,1.15,139100,246.41,NA,NA,91.03,1.47,1197,No
MCO,Monaco,31223,3358,35,49980,26672,23308,2021-06-30,2021-09-16,37.04,100,0.5,115700,15611.5,NA,NA,107.55,1.12,1601,No
TCA,Turks and Caicos Islands,57196,2905,23,54417,28305,26112,2021-01-11,2021-10-15,NA,93.8,1.46,29253,60.33,NA,NA,50.79,0.4,951,No
VGB,British Virgin Islands,37891,2725,37,33075,17607,15468,2021-02-11,2021-10-15,NA,48.9,1.73,34200,250.93,NA,NA,71.92,0.98,873,No
BTN,Bhutan,857423,2617,3,1087753,585479,502274,2021-03-27,2021-10-10,61.11,43,2.52,11832,22.33,NA,NA,3.05,0,1269,No
KNA,Saint Kitts and Nevis,54149,2511,21,49318,26249,23069,2021-02-22,2021-10-15,NA,30.9,1.06,26438,207.47,NA,NA,46.37,0.39,911,No
GGY,Guernsey,67334,1817,21,102340,NA,NA,NA,2021-10-13,NA,31,0.68,52500,863.26,NA,NA,26.98,0.31,1520,No
FRO,Faroe Islands,51943,1350,2,75867,38890,36977,NA,2021-10-15,13.89,42.6,0.89,40000,37.29,NA,NA,25.99,0.04,1461,No
CYM,Cayman Islands,63131,1011,2,109919,55780,53365,2021-01-15,2021-10-15,NA,100,1.13,71549,239.13,28.5,3.77,16.01,0.03,1741,No
GRL,Greenland,57799,654,0,76637,40015,36622,NA,2021-10-15,30.09,87.5,0.41,41800,0.03,-4.15,2.61,11.32,0,1326,No
AIA,Anguilla,18403,644,1,18705,9548,9157,2021-02-05,2021-10-15,NA,100,0.47,12200,202.23,NA,NA,34.99,0.05,1016,No
WLF,Wallis and Futuna,15851,454,7,10843,5679,5164,2021-03-19,2021-10-04,NA,0,0,3800,111.63,27.16,6.73,28.64,0.44,684,No
MNP,Northern Mariana Islands (Commonwealth of the),51659,288,3,69761,35757,34813,2020-12-19,2021-10-01,NA,91.9,0.36,24500,111.33,NA,6.01,5.58,0.06,1350,No
FLK,Falkland Islands (Malvinas),3198,69,0,4407,2632,1775,NA,2021-04-14,NA,78.9,0.53,70800,0.26,4.91,1.09,21.58,0,1378,No
MSR,Montserrat,5387,41,1,2911,1502,1409,2021-02-08,2021-10-15,NA,9.2,0.94,34000,52.81,NA,NA,7.61,0.19,540,No
SPM,Saint Pierre and Miquelon,5321,32,0,NA,NA,NA,NA,NA,NA,90,0.75,46200,21.99,7.31,2.24,6.01,0,NA,No
SLB,Solomon Islands,690598,20,0,141920,113423,28497,2021-03-23,2021-10-08,27.78,25.1,3.57,2663,23.9,27.15,6.98,0.03,0,206,No
PLW,Palau,21613,8,0,30751,17663,15421,2021-01-03,2021-10-04,NA,81.5,1.59,17579,47.09,NA,9.63,0.37,0,1423,No
MHL,Marshall Islands,78831,4,0,40634,22784,19952,2020-12-29,2021-10-04,NA,78.2,0.61,3889,435.53,28.2,7.82,0.05,0,515,No
ASM,American Samoa,46366,3,0,62212,34110,28648,2020-12-21,2021-10-04,NA,87.2,0.26,11200,206.99,27.57,9.63,0.06,0,1342,No
VUT,Vanuatu,303009,3,0,87583,59215,28382,2021-06-02,2021-10-10,16.67,25.7,2.55,3153,24.86,25.73,9.03,0.01,0,289,No
WSM,Samoa,204898,1,0,183617,115274,68343,2021-04-18,2021-10-07,NA,17.7,-0.03,6521,72.38,NA,NA,0,0,896,No
COK,Cook Islands,8327,0,0,23489,12297,11192,2021-05-17,2021-10-11,NA,75.7,0.52,16700,35.28,25.09,5.33,0,0,2821,No
PRK,Democratic People's Republic of Korea,25831360,0,0,NA,NA,NA,NA,NA,NA,62.6,0.85,1700,214.3,12.22,12.88,0,0,NA,No
KIR,Kiribati,113001,0,0,51428,43044,8384,2021-05-26,2021-10-01,37.5,56.3,2.77,2272,139.34,28.18,3.44,0,0,455,No
FSM,Micronesia (Federated States of),101675,0,0,72384,44932,39076,2021-01-13,2021-10-04,NA,23.1,1.52,3464,144.84,27.51,11.56,0,0,712,No
NRU,Nauru,9770,0,0,14790,7612,7178,2021-04-09,2021-08-20,NA,100,0.18,11583,465.24,NA,NA,0,0,1514,No
NIU,Niue,2000,0,0,2352,1202,1150,2021-06-08,2021-08-02,NA,46.9,1.43,5800,7.69,NA,NA,0,0,1176,No
SHN,Saint Helena,7915,0,0,7892,4361,3531,NA,2021-05-05,NA,40.3,0.98,7800,20.09,NA,NA,0,0,997,No
TKL,Tokelau,1647,0,0,1936,968,968,2021-07-20,2021-09-28,NA,0,0,6004,137.25,NA,NA,0,0,1175,No
TON,Tonga,105780,0,0,80062,49817,30245,2021-04-14,2021-10-04,NA,23.1,0.99,6383,141.61,NA,NA,0,0,757,No
TKM,Turkmenistan,5579889,0,0,7580976,4374694,3206282,2021-02-24,2021-08-29,NA,53,2.23,14845,11.43,21.13,1.65,0,0,1359,No
TUV,Tuvalu,11448,0,0,10861,6209,4652,2021-04-13,2021-09-10,NA,64.8,2.08,4281,440.31,28.78,7.33,0,0,949,No
