"","country_code","country_name","total_cases","total_deaths","total_vaccinations","vaccinated_1dose","fully_vacccinated","total_vaccinations_per100","first_vaccine_date","last_updated_date","stringency"
"113","RWA","Rwanda",99143,1313,3818338,3033940,1725362,29.48,2021-02-14,2021-10-18,51.85
"114","CMR","Cameroon",98402,1550,481985,397608,142770,1.816,2021-04-12,2021-10-14,44.44
"115","JAM","Jamaica",86722,2059,852062,557884,368016,28.775,2021-03-10,2021-10-15,77.78
"116","MDV","Maldives",86165,238,740902,393344,347558,137.066,2021-02-01,2021-10-11,NA
"117","LUX","Luxembourg",79720,839,771490,410678,360812,123.2,2020-12-30,2021-10-10,37.96
"118","SEN","Senegal",73866,1871,1959198,1280390,877598,11.701,2021-02-23,2021-10-18,21.3
"119","AGO","Angola",62842,1664,5224697,3787300,1437397,15.897,2021-03-10,2021-10-18,54.63
"120","MWI","Malawi",61716,2292,1198689,881958,518717,6.266,2021-03-11,2021-10-17,37.04
"121","CIV","Côte d’Ivoire",61038,682,2762147,2060675,701472,10.471,2021-03-01,2021-10-15,17.59
"122","COD","Democratic Republic of the Congo",57338,1091,140254,102610,37644,0.157,2021-04-19,2021-10-12,37.96
"123","REU","Réunion",54024,370,NA,NA,NA,NA,NA,NA,NA
"124","GLP","Guadeloupe",53836,800,230906,130451,99079,57.709,2021-01-08,2021-10-15,NA
"125","TTO","Trinidad and Tobago",53216,1572,1165204,633915,588351,83.259,2021-02-17,2021-10-15,69.44
"126","FJI","Fiji",51701,661,1107254,617865,489389,123.516,2021-03-07,2021-10-08,88.89
"127","SWZ","Eswatini",46363,1233,270643,236992,229476,23.328,2021-03-19,2021-10-17,61.11
"128","SUR","Suriname",45592,994,422680,239647,183033,72.052,2021-02-23,2021-10-15,61.11
"129","PYF","French Polynesia",45439,633,296738,153575,143163,105.635,2021-01-18,2021-10-05,NA
"130","MDG","Madagascar",43616,960,479068,197001,282067,1.73,2021-05-10,2021-10-11,35.19
"131","GUF","French Guiana",43255,293,150720,81168,69552,50.462,2021-01-13,2021-10-15,NA
"132","MTQ","Martinique",42269,656,237473,124839,112634,63.281,NA,2021-10-15,NA
"133","SDN","Sudan",39839,2979,2096024,670712,1001673,4.78,2021-03-09,2021-10-17,13.89
"134","SYR","Syrian Arab Republic",39086,2408,902519,681791,367744,5.157,2021-04-01,2021-10-12,60.65
"135","CPV","Cabo Verde",38040,347,472436,286160,186276,84.972,2021-03-18,2021-10-17,55.56
"136","MLT","Malta",37458,459,800564,417197,383367,155.6,2020-12-23,2021-10-10,43.52
"137","MRT","Mauritania",36677,788,1298995,711425,587570,27.937,2021-03-26,2021-10-13,50
"138","GUY","Guyana",33973,851,596526,369877,226649,75.841,2021-02-11,2021-10-15,65.74
"139","GAB","Gabon",33442,213,180320,118128,87976,8.102,2021-03-23,2021-10-12,55.56
"140","LAO","Lao People's Democratic Republic",32029,40,4213630,3018273,2126318,57.915,2020-11-25,2021-10-04,72.22
"141","GIN","Guinea",30572,385,2077305,1371867,705438,15.818,2021-03-05,2021-10-17,62.96
"142","TZA","United Republic of Tanzania",26034,724,885579,NA,885579,1.483,NA,2021-10-13,13.89
"143","TGO","Togo",25899,239,1287154,867386,419768,15.548,2021-03-10,2021-10-15,38.89
"144","PNG","Papua New Guinea",24857,309,191925,133741,61221,2.145,2021-03-30,2021-09-29,49.54
"145","BEN","Benin",24560,161,252698,216527,186951,2.084,2021-03-29,2021-10-13,37.04
"146","BLZ","Belize",23507,451,360089,219327,174382,90.559,2021-03-01,2021-10-15,56.48
"147","HTI","Haiti",22827,649,102168,73568,29282,0.896,NA,2021-10-15,64.81
"148","SYC","Seychelles",21947,114,159392,80595,74778,162.071,2021-01-10,2021-10-15,62.04
"149","BHS","Bahamas",21580,590,238432,133591,116579,60.632,2021-03-14,2021-10-15,51.39
"150","LSO","Lesotho",21530,655,383341,347836,339506,17.894,2021-03-10,2021-10-10,49.07
"151","SOM","Somalia",21269,1180,635822,355132,280690,4.001,2021-03-16,2021-10-17,35.19
"152","MYT","Mayotte",20439,181,NA,NA,NA,NA,NA,NA,NA
"153","BDI","Burundi",19730,14,NA,NA,NA,NA,NA,NA,13.89
"154","TLS","Timor-Leste",19725,119,810855,495822,315033,61.501,2021-04-07,2021-10-12,46.3
"155","TJK","Tajikistan",17484,125,4491235,2517446,1973789,47.1,2021-03-24,2021-10-10,29.63
"156","CUW","Curaçao",16866,169,189304,98872,90432,115.364,2021-02-24,2021-10-15,NA
"157","MUS","Mauritius",16669,134,1633952,878687,830651,128.479,2021-01-26,2021-10-12,39.81
"158","COG","Congo",15962,231,269914,198302,112541,4.891,2021-03-23,2021-10-18,36.11
"159","ABW","Aruba",15681,170,157944,82013,75931,147.935,2021-02-17,2021-10-15,35.19
"160","MLI","Mali",15620,557,426975,318797,253733,2.108,2021-03-31,2021-10-15,44.44
"161","AND","Andorra",15338,130,102692,54383,48309,132.9,2021-01-20,2021-10-03,51.85
"162","BFA","Burkina Faso",14734,203,297231,315749,255240,1.422,2021-06-02,2021-10-17,13.89
"163","GUM","Guam",14030,222,228169,125402,112034,135.191,2021-01-04,2021-10-04,43.52
"164","DJI","Djibouti",13396,179,66010,40689,26087,6.681,2021-03-15,2021-09-18,54.63
"165","GNQ","Equatorial Guinea",12840,156,414506,236045,178461,29.545,2021-02-12,2021-10-14,NA
"166","ISL","Iceland",12455,33,504724,281561,223163,138.6,2020-12-30,2021-10-10,41.67
"167","SSD","South Sudan",12223,130,120467,84658,35809,1.076,2021-04-06,2021-10-17,27.78
"168","NIC","Nicaragua",12169,206,999990,671784,328206,15.095,2021-03-02,2021-10-15,2.78
"169","LCA","Saint Lucia",12095,232,84799,48222,36577,46.18,2021-02-17,2021-10-15,NA
"170","BRB","Barbados",11785,103,258231,143661,114570,89.859,2021-02-10,2021-10-15,67.59
"171","CAF","Central African Republic",11478,100,385557,256081,285043,7.983,2021-03-19,2021-10-18,11.11
"172","BRN","Brunei Darussalam",10860,49,534701,323834,208168,122.223,2021-04-03,2021-10-08,79.63
"173","JEY","Jersey",10357,79,161258,78161,74270,149.596,NA,2021-10-14,NA
"174","NCL","New Caledonia",9977,241,286196,163063,123133,100.244,2021-01-20,2021-10-09,NA
"175","GMB","Gambia",9946,339,208379,185385,23834,8.623,2021-03-10,2021-10-02,33.33
"176","YEM","Yemen",9526,1804,356173,308025,48148,1.194,2021-04-20,2021-10-11,23.15
"177","IMN","Isle of Man",8583,56,129525,65504,64021,152.325,NA,2021-10-14,NA
"178","VIR","United States Virgin Islands",7020,78,NA,NA,NA,NA,NA,NA,53.7
"179","ERI","Eritrea",6774,45,NA,NA,NA,NA,NA,NA,50.93
"180","SLE","Sierra Leone",6397,121,396196,318380,110744,4.967,2021-03-15,2021-10-18,29.63
"181","NER","Niger",6170,204,803146,479613,323533,3.318,2021-03-29,2021-10-15,19.44
"182","GNB","Guinea-Bissau",6130,141,121501,111771,9730,6.174,2021-04-02,2021-10-18,NA
"183","LBR","Liberia",5807,286,326046,86561,229773,6.447,2021-04-01,2021-10-12,40.74
"184","GIB","Gibraltar",5758,98,81966,39970,39751,243.288,NA,2021-10-15,NA
"185","GRD","Grenada",5670,189,65362,36757,28605,58.088,2021-02-15,2021-10-15,NA
"186","BMU","Bermuda",5548,95,88417,45017,43400,141.983,2021-01-11,2021-10-15,56.48
"187","SMR","San Marino",5475,91,47302,25084,22218,139.4,2021-02-24,2021-10-10,37.96
"188","TCD","Chad",5069,174,191439,150842,40597,1.165,2021-06-04,2021-10-13,22.22
"189","NZL","New Zealand",4696,28,4635189,3052320,1582869,96.121,2021-02-19,2021-09-24,81.02
"190","SXM","Sint Maarten",4431,70,50223,26122,24101,117.119,2021-02-22,2021-10-15,NA
"191","COM","Comoros",4186,147,375241,213143,162098,43.151,2021-04-10,2021-10-13,NA
"192","DMA","Dominica",4153,28,48830,26806,22024,67.828,2021-02-12,2021-10-15,79.63
"193","VCT","Saint Vincent and the Grenadines",3965,33,37377,22811,14566,33.691,2021-02-01,2021-10-15,NA
"194","ATG","Antigua and Barbuda",3830,93,99846,54758,45088,101.958,2021-02-19,2021-10-15,NA
"195","STP","Sao Tome and Principe",3677,56,103720,75837,27883,47.326,2021-03-15,2021-10-15,NA
"196","LIE","Liechtenstein",3589,58,47202,24781,23116,121.821,NA,2021-10-14,28.7
"197","MCO","Monaco",3358,35,49980,26672,23308,127.4,2021-06-30,2021-09-16,37.04
"198","TCA","Turks and Caicos Islands",2905,23,54417,28305,26112,140.547,2021-01-11,2021-10-15,NA
"199","VGB","British Virgin Islands",2725,37,33075,17607,15468,109.386,2021-02-11,2021-10-15,NA
"200","BTN","Bhutan",2617,3,1087753,585479,502274,140.972,2021-03-27,2021-10-10,61.11
"201","KNA","Saint Kitts and Nevis",2511,21,49318,26249,23069,92.717,2021-02-22,2021-10-15,NA
"202","GGY","Guernsey",1817,21,102340,NA,NA,158.745,NA,2021-10-13,NA
"203","BLM","Saint Barthélemy",1658,4,NA,NA,NA,NA,NA,NA,NA
"204","FRO","Faroe Islands",1350,2,75867,38890,36977,155.258,NA,2021-10-15,13.89
"205","CYM","Cayman Islands",1011,2,109919,55780,53365,167.253,2021-01-15,2021-10-15,NA
"206","GRL","Greenland",654,0,76637,40015,36622,134.991,NA,2021-10-15,30.09
"207","AIA","Anguilla",644,1,18705,9548,9157,124.683,2021-02-05,2021-10-15,NA
"208","WLF","Wallis and Futuna",454,7,10843,5679,5164,96.417,2021-03-19,2021-10-04,NA
"209","MNP","Northern Mariana Islands (Commonwealth of the)",288,3,69761,35757,34813,121.203,2020-12-19,2021-10-01,NA
"210","FLK","Falkland Islands (Malvinas)",69,0,4407,2632,1775,126.529,NA,2021-04-14,NA
"211","MSR","Montserrat",41,1,2911,1502,1409,58.232,2021-02-08,2021-10-15,NA
"212","SPM","Saint Pierre and Miquelon",32,0,NA,NA,NA,NA,NA,NA,NA
"213","VAT","Holy See",26,0,NA,NA,NA,NA,NA,NA,NA
"214","SLB","Solomon Islands",20,0,141920,113423,28497,20.661,2021-03-23,2021-10-08,27.78
"215","PLW","Palau",8,0,30751,17663,15421,169.97,2021-01-03,2021-10-04,NA
"216","MHL","Marshall Islands",4,0,40634,22784,19952,68.645,2020-12-29,2021-10-04,NA
"217","ASM","American Samoa",3,0,62212,34110,28648,112.709,2020-12-21,2021-10-04,NA
"218","VUT","Vanuatu",3,0,87583,59215,28382,28.515,2021-06-02,2021-10-10,16.67
"219","WSM","Samoa",1,0,183617,115274,68343,92.542,2021-04-18,2021-10-07,NA
"220","COK","Cook Islands",0,0,23489,12297,11192,133.734,2021-05-17,2021-10-11,NA
"221","PRK","Democratic People's Republic of Korea",0,0,NA,NA,NA,NA,NA,NA,NA
"222","KIR","Kiribati",0,0,51428,43044,8384,43.054,2021-05-26,2021-10-01,37.5
"223","FSM","Micronesia (Federated States of)",0,0,72384,44932,39076,62.93,2021-01-13,2021-10-04,NA
"224","NRU","Nauru",0,0,14790,7612,7178,136.515,2021-04-09,2021-08-20,NA
"225","NIU","Niue",0,0,2352,1202,1150,145.365,2021-06-08,2021-08-02,NA
"226","PCN","Pitcairn Islands",0,0,74,37,37,148,2021-05-17,2021-09-16,NA
"227","SHN","Saint Helena",0,0,7892,4361,3531,129.995,NA,2021-05-05,NA
"228","TKL","Tokelau",0,0,1936,968,968,143.407,2021-07-20,2021-09-28,NA
"229","TON","Tonga",0,0,80062,49817,30245,75.748,2021-04-14,2021-10-04,NA
"230","TKM","Turkmenistan",0,0,7580976,4374694,3206282,125.7,2021-02-24,2021-08-29,NA
"231","TUV","Tuvalu",0,0,10861,6209,4652,92.105,2021-04-13,2021-09-10,NA
