"","country","urbanisation_rate","urbanisation_yearly_change","gdp_per_cap","size","population","density","country_code"
"87","Guinea","37.3","3.64",2562,245857,12877894,52.38,"GIN"
"88","Guinea-Bissau","44.6","3.22",1989,36125,1976187,54.7,"GNB"
"89","Guyana","26.9","1.01",13082,214969,787971,3.67,"GUY"
"90","Haiti","58","2.47",2905,27750,11198240,403.54,"HTI"
"91","Honduras","59","2.48",5728,112090,9346277,83.38,"HND"
"92","Hong Kong","100","0.58",59848,1108,7263234,6555.27,"HKG"
"93","Hungary","72.2","0.05",32945,93028,9728337,104.57,"HUN"
"94","Iceland","93.9","0.74",55874,103000,354234,3.44,"ISL"
"95","India","35.4","2.33",6700,3287263,1339330514,407.43,"IND"
"96","Indonesia","57.3","1.99",11812,1904569,275122131,144.45,"IDN"
"97","Iran","76.3","1.32",12389,1648195,85888910,52.11,"IRN"
"98","Iraq","71.1","2.91",10881,438317,39650145,90.46,"IRQ"
"99","Ireland","63.9","1.15",86781,70273,5224884,74.35,"IRL"
"100","Isle of Man","53.1","0.97",84600,572,90895,158.91,"IMN"
"101","Israel","92.7","1.51",41953,21937,8787045,400.56,"ISR"
"102","Italy","71.3","0.27",42492,301340,62390364,207.04,"ITA"
"103","Jamaica","56.7","0.79",9762,10991,2816602,256.26,"JAM"
"104","Japan","91.9","-0.25",41429,377915,124687293,329.93,"JPN"
"105","Jersey","31","0.68",56600,116,101476,874.79,"JEY"
"106","Jordan","91.6","0.98",10071,89342,10909567,122.11,"JOR"
"107","Kazakhstan","57.8","1.19",26351,2724900,19245793,7.06,"KAZ"
"108","Kenya","28.5","4.09",4330,580367,54685051,94.22,"KEN"
"109","Kiribati","56.3","2.77",2272,811,113001,139.34,"KIR"
"110","Korea, North","62.6","0.85",1700,120538,25831360,214.3,"PRK"
"111","Korea, South","81.4","0.31",42765,99720,51715162,518.6,"KOR"
"112","Kuwait","100","1.35",49854,17818,3032065,170.17,"KWT"
"113","Kyrgyzstan","37.1","2.05",5253,199951,6018789,30.1,"KGZ"
"114","Laos","36.9","2.99",7826,236800,7574356,31.99,"LAO"
"115","Latvia","68.4","-0.68",30898,64589,1862687,28.84,"LVA"
"116","Lebanon","89.1","-1.23",14552,10400,5261372,505.9,"LBN"
"117","Lesotho","29.5","2.77",2704,30355,2177740,71.74,"LSO"
"118","Liberia","52.6","3.41",1428,111369,5214030,46.82,"LBR"
"119","Libya","81","1.45",15174,1759540,7017224,3.99,"LBY"
"120","Liechtenstein","14.5","1.15",139100,160,39425,246.41,"LIE"
"121","Lithuania","68.2","-0.12",37231,65300,2711566,41.52,"LTU"
"122","Luxembourg","91.7","1.43",114482,2586,639589,247.33,"LUX"
"123","Macau","100","1.46",123965,28,630396,22514.14,"MAC"
"124","Madagascar","39.2","4.26",1647,587041,27534354,46.9,"MDG"
"125","Malawi","17.7","4.41",1060,118484,20308502,171.4,"MWI"
"126","Malaysia","77.7","1.87",28364,329847,33519406,101.62,"MYS"
