country_code,country_name,population,total_cases,total_deaths,total_vaccinations,vaccinated_1dose,fully_vacccinated,first_vaccine_date,last_updated_date,stringency_index,urbanisation_rate,urbanisation_yearly_change,gdp_per_cap,density,tavg,prcp,Infection_Rate_per_100,Deaths_per_10000,total_vaccinations_per_100
TJK,Tajikistan,8990874,17484,125,4051071,2386646,1664425,2021-03-24,2021-09-26,69.44,27.7,2.73,3380,62.39,12.398562367864695,7.136842105263173,0.19,0.14,42
CUW,Curaçao,151885,16684,168,188257,98374,89883,2021-02-24,2021-10-08,NA,89.1,0.57,24479,342.08,NA,NA,10.98,11.06,115
MUS,Mauritius,1386129,16291,110,1633952,845164,786438,2021-01-26,2021-09-22,97.22,40.8,0.28,22870,679.48,25.098902821316614,4.628300258843839,1.18,0.79,128
ABW,Aruba,120917,15578,168,157153,81694,75459,2021-02-17,2021-10-08,88.89,43.9,0.77,37500,671.76,NA,NA,12.88,13.89,147
MLI,Mali,20137527,15472,553,418679,173242,245437,2021-03-31,2021-10-08,75,44.7,4.57,2322,16.24,30.174400935125604,7.950450450450444,0.08,0.27,2
AND,Andorra,85645,15291,130,102692,54383,48309,2021-01-20,2021-10-03,65.74,87.9,0.11,49900,183,NA,NA,17.85,15.18,133
COG,Congo,5417414,14833,206,269914,157373,112541,2021-03-23,2021-10-08,97.22,68.3,3.19,3673,15.84,26.127342094107693,8.830087390761541,0.27,0.38,5
BFA,Burkina Faso,21382659,14495,195,297231,273428,208994,2021-06-02,2021-10-09,89.81,31.2,4.75,2178,77.98,29.288714467543475,7.553886010362695,0.07,0.09,1
GUM,Guam,168801,13681,212,228169,125402,112034,2021-01-04,2021-10-04,79.63,95,0.84,35600,310.3,27.682835820895505,5.899748953974861,8.1,12.56,135
DJI,Djibouti,938413,13229,177,66010,40689,26087,2021-03-15,2021-09-18,94.44,78.2,1.56,5535,40.45,NA,NA,1.41,1.89,7
GNQ,Equatorial Guinea,857008,12657,154,403814,232116,171698,2021-02-12,2021-10-07,NA,73.6,3.62,18558,30.55,26.971074380165277,9.324561403508763,1.48,1.8,29
ISL,Iceland,354234,12147,33,554603,281734,276523,2020-12-30,2021-09-30,65.74,93.9,0.74,55874,3.44,NA,NA,3.43,0.93,152
SSD,South Sudan,10984074,12114,130,113013,81061,31952,2021-04-06,2021-10-08,86.11,20.5,4.12,1600,17.05,NA,NA,0.11,0.12,1
LCA,Saint Lucia,166637,11833,215,82051,47238,34813,2021-02-17,2021-10-08,NA,18.9,0.98,15449,270.51,NA,NA,7.1,12.9,45
NIC,Nicaragua,6243931,11739,205,999990,671784,328206,2021-03-02,2021-10-08,24.07,59.3,1.45,5407,47.89,NA,NA,0.19,0.33,15
CAF,Central African Republic,5357984,11401,100,187299,82662,104637,2021-03-19,2021-10-04,75.93,42.6,3.32,945,8.6,25.217520215633368,9.800000000000002,0.21,0.19,4
JEY,Jersey,101476,10169,79,157280,77796,74147,NA,2021-10-03,NA,31,0.68,56600,874.79,NA,NA,10.02,7.79,146
GMB,Gambia,2221301,9941,339,208379,185385,23834,2021-03-10,2021-10-02,83.33,63.2,3.75,2223,196.58,26.024242424242416,12.923214285714286,0.45,1.53,9
BRB,Barbados,301865,9823,85,249944,140159,109785,2021-02-10,2021-10-08,88.89,31.2,0.46,15639,702.01,NA,NA,3.25,2.82,87
YEM,Yemen,30399243,9369,1778,356173,308025,48148,2021-04-20,2021-09-27,64.81,38.5,3.71,2500,57.58,NA,NA,0.03,0.58,1
NCL,New Caledonia,293608,9166,200,251439,152951,98488,2021-01-20,2021-10-02,NA,71.9,1.72,31100,15.81,NA,NA,3.12,6.81,88
BRN,Brunei Darussalam,471103,8980,41,491989,295545,196102,2021-04-03,2021-10-01,79.63,78.6,1.44,62100,81.72,27.590909090909083,12.969444444444454,1.91,0.87,112
IMN,Isle of Man,90895,8073,54,129488,65483,64005,NA,2021-10-08,NA,53.1,0.97,84600,158.91,NA,NA,8.88,5.94,152
ERI,Eritrea,6147398,6741,42,NA,NA,NA,NA,NA,93.52,42,3.67,1600,52.27,NA,NA,0.11,0.07,NA
SLE,Sierra Leone,6807277,6396,121,236465,192558,43907,2021-03-15,2021-10-04,88.89,43.4,3.02,1718,94.89,NA,NA,0.09,0.18,3
GNB,Guinea-Bissau,1976187,6119,141,117768,108632,9139,2021-04-02,2021-10-06,NA,44.6,3.22,1989,54.7,NA,NA,0.31,0.71,6
NER,Niger,23605767,6115,204,646086,429471,216615,2021-03-29,2021-10-10,61.11,16.8,4.72,1225,18.63,30.77065411046064,6.214225941422607,0.03,0.09,3
LBR,Liberia,5214030,5801,286,332800,86497,227222,2021-04-01,2021-10-08,87.96,52.6,3.41,1428,46.82,26.902714932126692,14.5,0.11,0.55,7
GIB,Gibraltar,29516,5626,97,79910,39955,39683,NA,2021-10-08,NA,100,0.45,61700,4216.57,19.15509433962265,2.0168776371308006,19.06,32.86,237
GRD,Grenada,113570,5531,167,62095,35762,26333,2021-02-15,2021-10-08,NA,36.7,0.86,17039,330.15,NA,NA,4.87,14.7,55
SMR,San Marino,34467,5470,91,47028,24877,22151,2021-02-24,2021-10-03,92.59,97.6,0.41,59439,565.03,NA,NA,15.87,26.4,139
BMU,Bermuda,72084,5455,87,87723,44573,43150,2021-01-11,2021-10-08,96.3,100,-0.2,81798,1334.89,22.519475655430682,4.571551724137927,7.57,12.07,141
TCD,Chad,17414108,5061,174,173184,139591,33593,2021-06-04,2021-10-06,88.89,23.8,4.1,1580,13.56,30.128517823639818,9.258467741935487,0.03,0.1,1
SXM,Sint Maarten,44564,4375,68,50118,26059,24059,2021-02-22,2021-10-08,NA,100,1.16,35342,1310.71,NA,NA,9.82,15.26,117
NZL,New Zealand,4991442,4300,28,4635189,3052320,1582869,2021-02-19,2021-09-24,96.3,86.8,0.92,42888,18.57,13.089359092302942,2.834797529169476,0.09,0.06,96
COM,Comoros,864335,4165,147,360675,198577,162098,2021-04-10,2021-10-09,-Inf,29.6,2.97,3060,386.73,NA,NA,0.48,1.7,41
VCT,Saint Vincent and the Grenadines,101145,3965,33,34386,20830,13556,2021-02-01,2021-10-08,NA,53.5,0.94,12485,260.01,NA,NA,3.92,3.26,31
DMA,Dominica,74584,3893,24,48091,26294,21797,2021-02-12,2021-10-08,79.63,71.4,0.84,11917,99.31,NA,NA,5.22,3.22,67
STP,Sao Tome and Principe,213948,3628,56,101065,73554,27511,2021-03-15,2021-10-09,NA,75.1,2.96,3970,221.94,NA,NA,1.7,2.62,46
ATG,Antigua and Barbuda,99175,3581,87,97831,53958,43873,2021-02-19,2021-10-08,NA,24.4,0.87,21910,223.87,NA,NA,3.61,8.77,100
LIE,Liechtenstein,39425,3567,58,46928,24604,22995,NA,2021-10-07,67.59,14.5,1.15,139100,246.41,NA,NA,9.05,14.71,121
MCO,Monaco,31223,3335,35,49980,26672,23308,2021-06-30,2021-09-16,87.96,100,0.5,115700,15611.5,NA,NA,10.68,11.21,127
TCA,Turks and Caicos Islands,57196,2884,23,54417,28305,26112,2021-01-11,2021-10-08,NA,93.8,1.46,29253,60.33,NA,NA,5.04,4.02,141
VGB,British Virgin Islands,37891,2725,37,33075,17607,15468,2021-02-11,2021-10-08,NA,48.9,1.73,34200,250.93,NA,NA,7.19,9.76,109
BTN,Bhutan,857423,2613,3,1083271,584977,498294,2021-03-27,2021-10-03,97.22,43,2.52,11832,22.33,NA,NA,0.3,0.03,140
KNA,Saint Kitts and Nevis,54149,2246,16,48755,25946,22809,2021-02-22,2021-10-08,NA,30.9,1.06,26438,207.47,NA,NA,4.15,2.95,92
GGY,Guernsey,67334,1674,21,102157,NA,NA,NA,2021-10-05,NA,31,0.68,52500,863.26,NA,NA,2.49,3.12,158
FRO,Faroe Islands,51943,1280,2,75360,38647,36713,NA,2021-10-08,60.19,42.6,0.89,40000,37.29,NA,NA,2.46,0.39,154
CYM,Cayman Islands,63131,930,2,108501,55496,52783,2021-01-15,2021-10-08,NA,100,1.13,71549,239.13,28.504545454545454,3.7702586206896522,1.47,0.32,165
GRL,Greenland,57799,623,0,76319,39936,36383,NA,2021-10-08,77.78,87.5,0.41,41800,0.03,-4.153626107977441,2.6064272211720243,1.08,0,134
AIA,Anguilla,18403,499,1,18704,9548,9156,2021-02-05,2021-10-08,NA,100,0.47,12200,202.23,NA,NA,2.71,0.54,125
WLF,Wallis and Futuna,15851,454,7,10843,5679,5164,2021-03-19,2021-10-04,NA,0,0,3800,111.63,27.15692599620492,6.725291828793786,2.86,4.42,96
MNP,Northern Mariana Islands (Commonwealth of the),51659,277,3,69761,35757,34813,2020-12-19,2021-10-01,NA,91.9,0.36,24500,111.33,NA,6.013805970149264,0.54,0.58,121
FLK,Falkland Islands (Malvinas),3198,67,0,4407,2632,1775,NA,2021-04-14,NA,78.9,0.53,70800,0.26,4.911298315163535,1.0926923076923079,2.1,0,127
MSR,Montserrat,5387,40,1,2911,1502,1409,2021-02-08,2021-10-08,NA,9.2,0.94,34000,52.81,NA,NA,0.74,1.86,58
SPM,Saint Pierre and Miquelon,5321,32,0,NA,NA,NA,NA,NA,NA,90,0.75,46200,21.99,7.311363636363635,2.2444015444015415,0.6,0,NA
SLB,Solomon Islands,690598,20,0,130204,104760,25444,2021-03-23,2021-10-01,69.44,25.1,3.57,2663,23.9,27.147588832487347,6.975033738191634,0,0,19
PLW,Palau,21613,8,0,30751,17663,15421,2021-01-03,2021-10-04,NA,81.5,1.59,17579,47.09,NA,9.628975741239879,0.04,0,170
MHL,Marshall Islands,78831,4,0,40634,22784,19952,2020-12-29,2021-10-04,NA,78.2,0.61,3889,435.53,28.196212121212113,7.819742990654154,0.01,0,69
ASM,American Samoa,46366,3,0,62212,34110,28648,2020-12-21,2021-10-04,NA,87.2,0.26,11200,206.99,27.57245762711864,9.630182926829239,0.01,0,113
VUT,Vanuatu,303009,3,0,73730,49639,24105,2021-06-02,2021-09-26,83.33,25.7,2.55,3153,24.86,25.72751729438894,9.02648125755745,0,0,24
WSM,Samoa,204898,1,0,176543,114739,61804,2021-04-18,2021-10-03,NA,17.7,-0.03,6521,72.38,NA,NA,0,0,89
COK,Cook Islands,8327,0,0,21761,11416,10345,2021-05-17,2021-08-03,NA,75.7,0.52,16700,35.28,25.08863636363636,5.332142857142854,0,0,124
PRK,Democratic People's Republic of Korea,25831360,0,0,NA,NA,NA,NA,NA,NA,62.6,0.85,1700,214.3,12.221049783549784,12.882867132867144,0,0,NA
KIR,Kiribati,113001,0,0,51428,43044,8384,2021-05-26,2021-10-01,56.94,56.3,2.77,2272,139.34,28.18295454545456,3.4441406249999935,0,0,43
FSM,Micronesia (Federated States of),101675,0,0,72384,44932,39076,2021-01-13,2021-10-04,NA,23.1,1.52,3464,144.84,27.506609808102343,11.564044463446232,0,0,63
NRU,Nauru,9770,0,0,14790,7612,7178,2021-04-09,2021-08-20,NA,100,0.18,11583,465.24,NA,NA,0,0,137
NIU,Niue,2000,0,0,2352,1202,1150,2021-06-08,2021-08-02,NA,46.9,1.43,5800,7.69,NA,NA,0,0,145
SHN,Saint Helena,7915,0,0,7892,4361,3531,NA,2021-05-05,NA,40.3,0.98,7800,20.09,NA,NA,0,0,130
TKL,Tokelau,1647,0,0,1936,968,968,2021-07-20,2021-09-28,NA,0,0,6004,137.25,NA,NA,0,0,143
TON,Tonga,105780,0,0,74503,46985,27518,2021-04-14,2021-09-22,93.52,23.1,0.99,6383,141.61,NA,NA,0,0,70
TKM,Turkmenistan,5579889,0,0,41993,32240,9753,2021-02-24,2021-04-04,73.15,53,2.23,14845,11.43,21.12622195512817,1.6464183381088817,0,0,1
TUV,Tuvalu,11448,0,0,10861,6209,4652,2021-04-13,2021-09-10,NA,64.8,2.08,4281,440.31,28.781395348837222,7.330662020905931,0,0,92
