"","country_name","urban_rate","rate_urbanisation_per_year"
"178","San Marino","97.6","0.41"
"179","Sao Tome and Principe","75.1","2.96"
"180","Saudi Arabia","84.5","1.69"
"181","Senegal","48.6","3.59"
"182","Serbia","56.7","0.04"
"183","Seychelles","58","0.99"
"184","Sierra Leone","43.4","3.02"
"185","Singapore","100","0.74"
"186","Sint Maarten","100","1.16"
"187","Slovakia","53.8","0.17"
"188","Slovenia","55.4","0.54"
"189","Solomon Islands","25.1","3.57"
"190","Somalia","46.7","4.2"
"191","South Africa","67.8","1.72"
"192","South Sudan","20.5","4.12"
"193","Spain","81.1","0.24"
"194","Sri Lanka","18.9","1.22"
"195","Sudan","35.6","3.43"
"196","Suriname","66.2","0.88"
"197","Sweden","88.2","0.89"
"198","Switzerland","74","0.79"
"199","Syria","56.1","5.38"
"200","Taiwan","79.3","0.65"
"201","Tajikistan","27.7","2.73"
"202","Tanzania","36","4.89"
"203","Thailand","52.2","1.43"
"204","Timor-Leste","31.7","3.31"
"205","Togo","43.4","3.6"
"206","Tokelau","0","0"
"207","Tonga","23.1","0.99"
"208","Trinidad and Tobago","53.3","0.23"
"209","Tunisia","69.9","1.34"
"210","Turkey","76.6","1.11"
"211","Turkmenistan","53","2.23"
"212","Turks and Caicos Islands","93.8","1.46"
"213","Tuvalu","64.8","2.08"
"214","Uganda","25.6","5.41"
"215","Ukraine","69.8","-0.27"
"216","United Arab Emirates","87.3","1.5"
"217","United Kingdom","84.2","0.8"
"218","United States","82.9","0.96"
"219","Uruguay","95.6","0.4"
"220","Uzbekistan","50.4","1.25"
"221","Vanuatu","25.7","2.55"
"222","Venezuela","88.3","1.16"
"223","Vietnam","38.1","2.7"
"224","Virgin Islands","96","-0.11"
"225","Wallis and Futuna","0","0"
"226","West Bank","77","2.85"
"227","World","56.6","1.73"
"228","Yemen","38.5","3.71"
"229","Zambia","45.2","4.15"
"230","Zimbabwe","32.3","2.41"
