,country_code,country_name,total_cases,total_deaths,total_vaccinations,vaccinated_1dose,fully_vacccinated,total_vaccinations_per100,stringency_index
117,JAM,Jamaica,84914,1922,755782,528907,253566,25.523,88.89
118,LUX,Luxembourg,78521,835,784482,417935,0,125.295,79.63
119,SEN,Senegal,73802,1860,1790447,1253691,843904,10.693,77.78
120,MWI,Malawi,61619,2284,1121630,811100,499390,5.863,64.81
121,CIV,Côte d’Ivoire,60424,640,2238044,1751511,486533,8.484,80.56
122,AGO,Angola,59371,1584,3134137,2127405,1006732,9.536,90.74
123,COD,Democratic Republic of the Congo,57034,1086,136094,99839,36255,0.152,80.56
124,REU,Réunion,53963,369,0,0,0,0,0
125,GLP,Guadeloupe,53544,785,218476,126091,91391,54.602,0
126,TTO,Trinidad and Tobago,51243,1505,1073351,593385,498048,76.696,92.59
127,FJI,Fiji,51224,634,1033997,608877,425120,115.344,88.89
128,SWZ,Eswatini,46097,1224,248985,217532,210432,21.461,89.81
129,PYF,French Polynesia,45181,623,235567,147213,124635,83.859,0
130,MDG,Madagascar,43610,960,443159,197001,246158,1.6,95.37
131,SUR,Suriname,42285,908,401242,229022,172220,68.398,100
132,MTQ,Martinique,41357,632,223575,118778,104797,59.578,0
133,GUF,French Guiana,41325,268,144875,78338,66537,48.505,0
134,SDN,Sudan,38632,2876,1765263,460247,838874,4.026,87.04
135,CPV,Cabo Verde,37658,342,420246,286914,142748,75.586,87.96
136,MLT,Malta,37221,459,818593,420499,420429,159.085,87.04
137,MRT,Mauritania,36186,778,894869,321479,573390,19.246,77.78
138,SYR,Syrian Arab Republic,35266,2287,649730,482196,290221,3.713,87.04
139,GUY,Guyana,32483,799,543180,357208,185972,69.058,87.04
140,GAB,Gabon,31058,194,180320,105903,80462,8.102,84.26
141,GIN,Guinea,30445,381,1806301,1227490,578811,13.754,80.56
142,TZA,United Republic of Tanzania,25957,723,595938,0,560938,0.998,52.78
143,TGO,Togo,25586,234,1125671,720739,404932,13.597,73.15
144,LAO,Lao People's Democratic Republic,25524,22,4048153,2940677,2023326,55.64,96.3
145,BEN,Benin,23890,159,226269,62089,164180,1.866,70.83
146,HTI,Haiti,22125,622,70003,49201,21143,0.614,93.52
147,SYC,Seychelles,21556,112,148402,77311,71091,150.896,93.52
148,PNG,Papua New Guinea,21365,234,191925,133741,61221,2.145,83.8
149,LSO,Lesotho,21363,650,359980,324686,316384,16.804,90.74
